occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.333,0.698,0.143,0.301,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.699,0.145,0.305,0.0,0.0,0.0,0.0,0.435,0,0,0,0
0.333,0.699,0.145,0.305,0.0,0.0,0.0,0.0,0.261,0,0,0,0
0.333,0.699,0.145,0.305,0.0,0.0,0.0,0.0,0.087,0,0,0,0
0.333,0.705,0.188,0.358,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.705,0.191,0.362,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.705,0.191,0.362,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.705,0.191,0.362,0.0,0.0,0.0,0.0,0.087,0,0,0,0
0.333,0.699,0.258,0.359,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.644,0.827,0.494,0.647,0.0,0.0,0.0,0.0,0.174,0,0,0,0
0.978,0.964,0.741,0.957,0.0,0.0,0.0,0.0,0.204,0,0,0,0
1.0,0.973,0.758,0.977,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.937,0.924,0.81,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0.13,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0.142,0,0,0,0
1.0,0.862,0.89,0.615,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.765,0.616,0.43,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.758,0.596,0.418,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.758,0.596,0.418,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.71,0.378,0.368,0.0,0.0,0.0,0.0,0.0,0,0,0,0
