occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.575,0.0187,0.0588,0.0588,0.0,0.0,0.0,0.0,0.359,0,0,0,0
1.0,0.589,0.022,0.0696,0.0696,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
1.0,0.589,0.022,0.0696,0.0696,0.0,0.0,0.0,0.0,0.168,0,0,0,0
1.0,0.589,0.022,0.0696,0.0696,0.0,0.0,0.0,0.0,0.401,0,0,0,0
1.0,0.593,0.0246,0.0885,0.0885,0.0,0.0,0.0,0.0,0.0966,0,0,0,0
1.0,0.597,0.0276,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.907,0.581,0.0221,0.0818,0.0818,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.584,0.024,0.0865,0.0865,0.0,0.0,0.0,0.0,0.128,0,0,0,0
0.8,0.609,0.0333,0.129,0.129,0.0,0.0,0.0,0.0,0.257,0,0,0,0
0.8,0.653,0.0496,0.203,0.203,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.8,0.704,0.0682,0.288,0.288,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.707,0.685,0.0644,0.256,0.256,0.0,0.0,0.0,0.0,0.151,0,0,0,0
0.6,0.664,0.06,0.22,0.22,0.0,0.0,0.0,0.0,0.209,0,0,0,0
0.6,0.664,0.06,0.22,0.22,0.0,0.0,0.0,0.0,0.174,0,0,0,0
0.6,0.664,0.06,0.22,0.22,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.6,0.664,0.0644,0.222,0.222,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.6,0.664,0.0693,0.225,0.225,0.0,0.0,0.0,0.0,0.0944,0,0,0,0
0.6,0.664,0.0693,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.6,0.664,0.0693,0.225,0.225,0.0,0.0,0.0,0.0,0.121,0,0,0,0
0.6,0.664,0.0727,0.223,0.223,0.0,0.0,0.0,0.0,0.233,0,0,0,0
0.6,0.664,0.0765,0.22,0.22,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.507,0.64,0.0624,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.493,0.637,0.0604,0.174,0.174,0.0,0.0,0.0,0.0,0.26,0,0,0,0
0.6,0.664,0.0799,0.216,0.216,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.6,0.664,0.0837,0.212,0.212,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.6,0.664,0.0837,0.212,0.212,0.0,0.0,0.0,0.0,0.334,0,0,0,0
0.6,0.664,0.0837,0.212,0.212,0.0,0.0,0.0,0.0,0.252,0,0,0,0
0.507,0.664,0.0857,0.21,0.21,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.4,0.664,0.0879,0.207,0.207,0.0,0.0,0.0,0.0,0.133,0,0,0,0
0.307,0.64,0.0711,0.17,0.17,0.0,0.0,0.0,0.0,0.141,0,0,0,0
0.2,0.613,0.0519,0.128,0.128,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.613,0.0543,0.128,0.128,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.2,0.613,0.057,0.127,0.127,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.2,0.613,0.057,0.127,0.127,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.2,0.613,0.057,0.127,0.127,0.0,0.0,0.0,0.0,0.252,0,0,0,0
0.2,0.613,0.0582,0.128,0.128,0.0,0.0,0.0,0.0,0.252,0,0,0,0
0.2,0.613,0.0596,0.129,0.129,0.0,0.0,0.0,0.0,0.252,0,0,0,0
0.107,0.589,0.0392,0.0919,0.0919,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0933,0.595,0.0449,0.102,0.102,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.2,0.632,0.0782,0.163,0.163,0.0,0.0,0.0,0.0,0.252,0,0,0,0
