Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-22 06:00:00,0.3629169917314287,0.10417239635726853,0.1661345945945946,0.12397930284676781,0.168081484375,0.014242204509660857,0.006614,0.05,0.1661345945945946,0.0,0.0,51.66666666666668,18.0267713059987,-0.05941336060803438
2025-01-22 07:00:00,0.40281517804581024,0.11646612860319339,0.18115166329976623,0.1507422631577534,0.14406984375,0.05138907113805679,0.006614,0.05,0.14240108108108107,0.038750582218685166,0.0,51.66666666666668,18.074087195277805,-0.059636519897178115
2025-01-22 08:00:00,0.4349101034886004,0.11977788065930799,0.18789574424329564,0.1594004206376878,0.1600776041666667,0.05881807868424586,0.006614,0.05,0.1582234234234234,0.029672320819872235,0.0,51.66666666666668,17.993908230730586,-0.07500525096772588
2025-01-22 09:00:00,0.41625403055608706,0.12015057171034901,0.141302512267711,0.16320021865871787,0.1360659635416667,0.060373848355702524,0.006614,0.05,0.13448990990990992,0.006812602357801103,0.0,51.66666666666668,18.03162581605147,-0.05704956487757252
2025-01-22 10:00:00,0.42703408482674143,0.11707840675847507,0.16504644260440157,0.1583138709108595,0.1600776041666667,0.05202860974921527,0.006614,0.05,0.1582234234234234,0.006823019180978168,0.0,51.66666666666668,18.005777325665214,-0.0731197441576392
2025-01-22 11:00:00,0.3756476085961669,0.11140817862477943,0.14240108108108107,0.14370648084155205,0.14406984375,0.0312572840046148,0.006614,0.05,0.14240108108108107,0.0,0.0,51.66666666666668,18.00404438419233,-0.06451987059254881
2025-01-22 12:00:00,0.42854430125713017,0.12093334877725664,0.1634430638987542,0.1714832005572153,0.14406984375,0.056377256949914877,0.006614,0.05,0.14240108108108107,0.021041982817673124,0.0,51.66666666666668,18.077919051155636,-0.04963076809195328
2025-01-22 13:00:00,0.41486876351739715,0.12093334877725664,0.17069398489361284,0.17440169067370936,0.12806208333333335,0.055790989510354445,0.006614,0.05,0.12657873873873873,0.0441152461548741,0.0,51.66666666666668,18.038711187608115,-0.06113357444710405
2025-01-22 14:00:00,0.4179930864233381,0.12093334877725664,0.1598604887894643,0.1768219019898264,0.12806208333333335,0.05649510110017835,0.006614,0.05,0.12657873873873873,0.03328175005072557,0.0,51.66666666666668,18.061117606345533,-0.053908652373980105
2025-01-22 15:00:00,0.3562997966469293,0.11104626174920391,0.1334017579197169,0.14350153748194713,0.12806208333333335,0.02812217583164879,0.006614,0.05,0.12657873873873873,0.006823019180978168,0.0,51.66666666666668,18.081988619352412,-0.04905861653235668
