occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.5,0.713,0.144,0.211,0.28,0.0,0.0,0.0,0.0,0.0,1.0,0.082,0,0,0,0
0.533,0.75,0.182,0.196,0.352,0.0,0.0,0.305,0.133,0.0,1.0,0.0,0,0,0,0
0.75,0.827,0.249,0.105,0.475,0.0,0.0,0.213,0.8,0.2,1.0,0.0,0,0,0,0
0.75,0.827,0.249,0.105,0.475,0.0,0.0,0.603,0.0,1.0,1.0,0.0,0,0,0,0
0.717,0.819,0.244,0.119,0.469,0.0,0.0,0.305,0.0,1.0,1.0,0.0,0,0,0,0
0.5,0.767,0.209,0.211,0.433,0.0,0.0,0.0,0.0,1.0,0.0,0.082,0,0,0,0
0.5,0.767,0.209,0.211,0.433,0.0,0.0,0.0,0.0,0.0667,0.0,0.41,0,0,0,0
0.5,0.767,0.209,0.211,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0,0,0,0
0.5,0.769,0.218,0.211,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0,0,0,0
0.533,0.792,0.296,0.196,0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0,0,0,0
0.75,0.885,0.41,0.105,0.752,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0,0,0,0
0.75,0.885,0.41,0.105,0.752,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0,0,0,0
0.75,0.883,0.432,0.105,0.751,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0,0,0,0
0.75,0.87,0.572,0.105,0.745,0.427,0.133,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.75,0.87,0.572,0.105,0.745,0.345,1.0,0.0,0.0,0.0,0.0,0.082,0,0,0,0
0.783,0.884,0.597,0.0912,0.776,0.477,1.0,0.0,0.0,0.0,0.0,0.082,0,0,0,0
1.0,0.968,0.781,0.0,0.953,0.282,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.77,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.157,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.0,0.267,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.924,0.929,0.0,0.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0615,0,0,0,0
1.0,0.857,0.887,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0,0.277,0,0,0,0
1.0,0.847,0.858,0.014,0.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.775,0.634,0.105,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0,0,0,0
1.0,0.717,0.389,0.119,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0598,0,0,0,0
1.0,0.663,0.259,0.225,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.616,0.146,0.316,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.609,0.129,0.33,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
