occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,electric_vehicle_charging,electric_vehicle_discharging,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.25,0.626,0.0705,0.316,0.149,0.0,0.0,0.0,0.0,1.0,0.0,0.077,0,0,0,0,0,0
0.25,0.626,0.0705,0.316,0.149,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0705,0.316,0.149,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,0,0,0,0,0
0.25,0.628,0.0724,0.316,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0,0,0,0,0,0
0.317,0.655,0.0941,0.288,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0,0.6,0,0,0,0
0.5,0.709,0.139,0.211,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0,1.0,0,0,0,0
0.5,0.709,0.139,0.211,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0,1.0,0,0,0,0
0.567,0.74,0.169,0.182,0.326,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0,0.733,0,0,0,0
0.75,0.827,0.249,0.105,0.475,0.44,0.267,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0
0.75,0.827,0.249,0.105,0.475,0.276,1.0,0.0,0.0,0.0,0.8,0.0,1.0,0,0,0,0,0
0.75,0.827,0.249,0.105,0.475,0.345,1.0,0.0,0.0,0.0,0.0,0.154,1.0,0,0,0,0,0
0.75,0.838,0.264,0.105,0.515,0.659,1.0,0.0,0.0,0.0,0.0,0.154,1.0,0,0,0,0,0
0.75,0.87,0.306,0.105,0.625,0.263,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.87,0.306,0.105,0.625,0.336,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.87,0.306,0.105,0.625,0.466,0.133,0.0,0.0,0.0,0.0,0.154,1.0,0,0,0,0,0
0.75,0.874,0.333,0.105,0.659,0.55,0.0,0.0,0.0,0.0,0.0,0.103,1.0,0,0,0,0,0
0.75,0.885,0.41,0.105,0.752,0.399,0.0,0.0,0.0,0.0,0.0,0.129,1.0,0,0,0,0,0
0.75,0.885,0.41,0.105,0.752,0.405,0.0,0.0,0.0,0.0,0.0,0.154,1.0,0,0,0,0,0
0.75,0.885,0.41,0.105,0.752,0.409,0.0,0.0,0.0,0.0,0.267,0.191,1.0,0,0,0,0,0
0.75,0.881,0.453,0.105,0.75,0.319,0.0,0.0,0.0,0.0,0.733,0.114,1.0,0,0,0,0,0
0.75,0.87,0.572,0.105,0.745,0.5,0.0,0.0,0.0,0.0,0.0,0.077,1.0,0,0,0,0,0
0.75,0.87,0.572,0.105,0.745,0.375,0.0,0.0,0.0,0.0,0.0,0.304,1.0,0,0,0,0,0
0.75,0.87,0.572,0.105,0.745,0.0,0.0,0.0,0.0,0.0,0.0,0.304,1.0,0,0,0,0,0
0.817,0.887,0.669,0.0772,0.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.934,0.936,0.0,0.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.933,0.91,0.874,0.0281,0.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.841,0.706,0.105,0.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.826,0.696,0.105,0.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.783,0.669,0.105,0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.783,0.669,0.105,0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.783,0.669,0.105,0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.753,0.564,0.133,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.077,1.0,0,0,0,0,0
0.75,0.67,0.276,0.211,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.67,0.276,0.211,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.67,0.276,0.211,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.652,0.221,0.239,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.591,0.0555,0.344,0.0858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.817,0.572,0.0303,0.393,0.0626,0.0,0.0,0.0,0.0,0.0,0.0,0.113,1.0,0,0,0,0,0
1.0,0.601,0.0699,0.316,0.0991,0.0,0.0,0.0,0.0,0.0,0.0,0.0565,1.0,0,0,0,0,0
1.0,0.6,0.0608,0.316,0.0908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.587,0.0304,0.344,0.0629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.421,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.933,0.571,0.0167,0.393,0.0497,0.0,0.0,0.0,0.0,0.0,0.267,0.0,1.0,0,0,0,0,0
0.75,0.596,0.019,0.316,0.0507,0.0,0.0,0.0,0.0,0.0,0.733,0.0,1.0,0,0,0,0,0
0.75,0.596,0.019,0.316,0.0507,0.0,0.0,0.0,0.0,0.0,0.0,0.154,1.0,0,0,0,0,0
0.75,0.596,0.019,0.316,0.0507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.75,0.596,0.0202,0.316,0.0571,0.0,0.0,0.0,0.0,0.0,0.0,0.154,1.0,0,0,0,0,0
0.75,0.596,0.0235,0.316,0.0746,0.0,0.0,0.0,0.0,0.0,0.0,0.308,1.0,0,0,0,0,0
