Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-04 15:00:00,0.7773034922758267,0.46322869041277426,0.030971523412061684,0.12662484373916866,0.5652602514724091,0.035418397064249,0.05,0.030971523412061684,0.0,50.64390481623503,17.6800346281503,-0.21395545014868028
2025-01-04 16:00:00,0.2545246658655845,0.10493877360522995,0.0,0.14726268572953247,0.0,0.057261980136052014,0.05,0.0,0.0,51.638672889004056,18.166129055523765,0.0
2025-01-04 17:00:00,0.5999659158193008,0.10970223468029171,0.0,0.47708180706570374,0.0,0.07288410875359702,0.05,0.0,0.0,50.3357401514693,17.989344447654315,0.0
2025-01-04 18:00:00,0.6269115691450058,0.11192899501458546,0.09291457023618506,0.48995350547829114,0.0,0.08695806366671453,0.05,0.09291457023618506,0.0,51.352909606960885,18.058322120015113,0.0
2025-01-04 19:00:00,0.7651999134865215,0.11980629193135334,0.030971523412061684,0.5651960843375737,0.0,0.1500038291489477,0.05,0.030971523412061684,0.0,51.72156023878902,18.243926177436403,0.0
2025-01-04 20:00:00,0.782778689970692,0.11861026098914666,0.023228642559046265,0.5969728512201083,0.0,0.13580583875058352,0.05,0.023228642559046265,0.0,51.15749224746848,18.472473585231775,0.0
2025-01-04 21:00:00,0.6397100343542199,0.10679360545175452,0.0,0.5207136246212717,0.0,0.06899640973294809,0.05,0.0,0.0,51.112770968081,18.520785083988706,0.0
2025-01-04 22:00:00,0.39756669519321314,0.1053933528680589,0.0,0.2719812903521797,0.0,0.07558540484103335,0.05,0.0,0.0,50.04022057331996,18.431962954998173,0.0
2025-01-04 23:00:00,0.2567846634876301,0.10174327196014402,0.03871440426507711,0.15708329097258647,0.0,0.04970137251504367,0.05,0.03871440426507711,0.0,51.50774611886163,18.32209453507588,0.0
2025-01-05 00:00:00,0.19163249867524995,0.09620807532729737,0.030971523412061684,0.11992628575290358,0.0,0.021706212922346375,0.05,0.030971523412061684,0.0,50.84767011031541,18.16666549643581,0.0
