occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.0,0.562,0.0159,0.421,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.267,0.63,0.0742,0.309,0.156,0.156,0.0,0.0,0.0289,0.533,0.0,0.0,0.0752,0,0,0,0
0.5,0.7,0.133,0.211,0.261,0.261,0.0,0.0,0.305,1.0,0.0,0.0,0.0752,0,0,0,0
0.5,0.709,0.139,0.211,0.272,0.272,0.0,0.0,0.074,1.0,0.0,0.0,0.0752,0,0,0,0
0.5,0.709,0.139,0.211,0.272,0.272,0.0,0.0,0.26,1.0,0.0,0.0,0.0,0,0,0,0
0.5,0.709,0.139,0.211,0.272,0.272,0.0,0.0,0.315,1.0,0.0,0.0,0.0752,0,0,0,0
0.5,0.725,0.157,0.211,0.305,0.305,0.0,0.0,0.0,0.267,0.733,0.0,0.226,0,0,0,0
0.5,0.738,0.172,0.211,0.333,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.0752,0,0,0,0
0.5,0.738,0.172,0.211,0.333,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.0752,0,0,0,0
0.5,0.738,0.172,0.211,0.333,0.333,0.0,0.0,0.0,0.0,0.533,0.0,0.0,0,0,0,0
0.5,0.754,0.192,0.211,0.386,0.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0752,0,0,0,0
0.5,0.767,0.209,0.211,0.433,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.5,0.767,0.209,0.211,0.433,0.433,0.269,0.533,0.0,0.0,0.0,0.0,0.0752,0,0,0,0
0.767,0.877,0.312,0.0982,0.638,0.638,0.329,1.0,0.0,0.0,0.0,0.0,0.0752,0,0,0,0
1.0,0.984,0.476,0.0,0.907,0.907,0.671,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.986,0.369,0.733,0.0,0.0,0.0,0.533,0.0752,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.986,0.349,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
